Title,Description,Links,Publication Date
«ОВД-Инфо»: в ходе акций в поддержку Навального задержали более 1 тыс. человек,"Число задержанных в ходе несогласованных акций в поддержку оппозиционера Алексея Навального увеличилось до 1090 человек, сообщает «ОВД-Инфо». Акции проходят сегодня во многих городах России. Сам господин Навальный находится под арестом в СИЗО «Матросская тишина», его жена Юлия задержана во время митинга в Москве.Больше всего задержали в ходе акций в следующих городах:Москва — 300 человек,Санкт-Петербург — 162,Новосибирск — 90,Красноярск — 46,Владивосток — 35. Алексея Навального задержали 17 января в аэропорту Шереметьево после возвращения из Германии. Суд отправил его под стражу до 15 февраля за нарушение условий испытательного срока по делу «Ив Роше». Суд по иску ФСИН о замене его условного срока на реальный запланирован на 2 февраля.О том, как проходят акции в Москве и других регионах,— в онлайн-трансляции “Ъ”.",https://www.kommersant.ru/doc/4661038,"Sat, 23 Jan 2021 16:32:00 +0300"
Француженка Симон выиграла масс-старт на этапе Кубка мира по биатлону,"Французская биатлонистка Жюлия Симон одержала победу в гонке с общего старта на этапе Кубка мира в итальянском Антхольце. Она показала время 37 мин. 5,5 сек., допустив три промаха.Второй стала шведка Ханна Эберг (+0,2 с; один промах). Третье место заняла австрийка Лиза Тереза Хаузер (+3,5; 1).Лучшей из россиянок стала Светлана Миронова. Она показала шестой результат (+29,3; 2).Позже состоится мужская гонка.",https://www.kommersant.ru/doc/4661036,"Sat, 23 Jan 2021 16:24:00 +0300"
Член Общественной палаты заявил о предотвращении массового выхода детей на митинги,"Массовое участие несовершеннолетних в митингах удалось предотвратить, заявил председатель комиссии Общественной палаты по демографии и защите семьи Сергей Рыбальченко. Сегодня, 23 января, по всей стране проходят несогласованные акции в поддержку оппозиционера Алексея Навального.«Я считаю, что наша работа с родительскими сообществами, которая была направлена на то, чтобы дети не вышли на эти акции, оправдалась. Подростки, безусловно, есть, но их мало, и по тем видео, которые мне присылают, сотрудники полиции проводят профилактические беседу, дети идут домой. Активных силовых действий я пока не видел в отношении молодых людей»,— заявил господин Рыбальченко «РИА Новости».По его словам, задержания на Дальнем Востоке были вызваны действиями протестующих: люди выходили на проезжую часть, нарушали меры безопасности при движении.Ранее Следственный комитет России (СКР) возбудил уголовное дело из-за призывов в соцсетях к несовершеннолетним участвовать в несанкционированных митингах в поддержку Алексея Навального…",https://www.kommersant.ru/doc/4661030,"Sat, 23 Jan 2021 16:21:00 +0300"
Умер телеведущий Ларри Кинг,"Американский журналист и телеведущий Ларри Кинг умер в возрасте 87 лет, сообщается в его аккаунте в Twitter. Он скончался в больнице, причина не уточняется. Ранее СМИ писали, что у телеведущего обнаружили коронавирус.«С глубокой печалью Ora Media объявляет о смерти Ларри Кинга -- нашего сооснователя, ведущего и друга. Он ушел этим утром в возрасте 87 лет в медицинском центре Cedar Sinai в Лос-Анджелесе»,-- говорится в сообщении.Ларри Кинг родился 19 ноября 1933 года в Нью-Йорке. Его ток-шоу Larry King Live выходило на телеканале CNN в течение 25 лет и попало в Книгу рекордов Гиннесса. Телеведущему дали интервью более 50 тыс. человек, среди которых президент России Владимир Путин, первый президент СССР Михаил Горбачев, все президенты США, начиная с Ричарда Никсона, боксер Майк Тайсон, музыканты Пол Маккартни, Фрэнк Синатра. Неотъемлемыми деталями имиджа телеведущего были подтяжки и очки.В 2010 году Кинг заявил об уходе с телевидения, однако в 2013 году начал вести передачу Larry King Now на телеканале…",https://www.kommersant.ru/doc/4661035,"Sat, 23 Jan 2021 16:06:00 +0300"
Роскомнадзор сообщил об удалении в соцсетях 89% призывов  участвовать в незаконных акциях,"Социальные сети активно удаляют призывы к детям участвовать в «незаконных массовых акциях», сообщили в Роскомнадзоре. На текущий момент всего удалено 89% таких сообщений от числа выявленных, а наиболее массово распространявшие их TikTok и «ВКонтакте» уже удалили 93% и 87% соответственно, заявили в ведомстве.«Взаимодействие с интернет-платформами, направленное на удаление незаконных призывов к несовершеннолетним участвовать в незаконных массовых мероприятиях, позволило свести их к минимуму»,— отметили в Роскомнадзоре.По всей стране в субботу, 23 января, проходят несогласованные акции в поддержку оппозиционера Алексея Навального. Роскомнадзор 21 января пригрозил соцсетям штрафами за привлечение подростков на митинги. Речь идет о ст. 13.41 КоАП РФ, вступившей в силу 10 января. Статья подразумевает ответственность за нарушение порядка ограничения доступа к запрещенной информации владельцами интернет-ресурсов. Нарушение грозит штрафом до 4 млн руб. для юрлиц (за повторное — до 10% годовой выручки). Следственный…",https://www.kommersant.ru/doc/4661023,"Sat, 23 Jan 2021 15:58:00 +0300"
«ОВД-Инфо»: в ходе акций в поддержку Навального задержали более 860 человек,"В России проходят несогласованные акции в поддержку оппозиционера Алексея Навального. По данным «ОВД-Инфо», число задержанных увеличилось до 863 человек. Сам господин Навальный находится под арестом в СИЗО «Матросская тишина», его жена Юлия задержана во время акции в Москве.Больше всего задержали в ходе акций в следующих городах:Москве — 191 человек,Санкт-Петербурге — 139,Новосибирске — 82, Красноярске — 46,Владивостоке — 35.17 января Алексея Навального задержали в аэропорту Шереметьево при возвращении из Германии. Суд отправил его под стражу до 15 февраля за нарушение условий испытательного срока по делу «Ив Роше». Суд по иску ФСИН о замене политику условного срока на реальный запланирован на 2 февраля.Подробнее об акциях в поддержку Алексея Навального — в онлайн-трансляции “Ъ”.",https://www.kommersant.ru/doc/4661027,"Sat, 23 Jan 2021 15:49:00 +0300"
МВД Москвы сообщило о четырех тысячах участников акции в Москве,"Около 4 тыс. человек участвуют в несанкционированной акции на Пушкинской площади в центре Москвы, сообщила пресс-служба ГУ МВД по Москве. Акции в поддержку оппозиционера Алексея Навального сегодня проходят по всей стране.«На Пушкинской площади на несанкционированное мероприятие собралось около 4 тыс. человек»,— сообщается на сайте МВД столицы.Около 14:00 на площади задержали юриста Фонда борьбы с коррупцией (признан Минюстом РФ иностранным агентом) Любовь Соболь, а позже — жену оппозиционера Юлию Навальную. По информации корреспондента “Ъ FM”, сотрудники полиции группами по 10 человек вклиниваются в толпу, отрезают людей друг от друга. Люди пытаются не отдавать тех, кого задерживают.За акциями в поддержку Алексея Навального следите в онлайн-трансляции “Ъ”.",https://www.kommersant.ru/doc/4661019,"Sat, 23 Jan 2021 15:30:00 +0300"
Юлию Навальную задержали на акции в Москве,"Жену оппозиционера Алексея Навального Юлию задержали на акции в поддержку политика в Москве, она написала об этом в Instagram. Это произошло меньше чем через полчаса после того, как госпожа Навальная сообщила, что пришла на демонстрацию.«Извините за плохое качество. Очень плохой свет в автозаке»,— написала Юлия Навальная в следующем посте.Сотрудники правоохранительных органов при задержании госпожи Навальной игнорировали вопросы ее адвоката и не пустили его в автозак.Несогласованные акции в поддержку оппозиционера проходят сегодня, 23 января, по всей стране. Демонстранты не согласны с арестом Алексея Навального. По информации «ОВД-Инфо», задержано около 400 человек. В Москве происходят стычки демонстрантов с полицией.О том, как проходят акции в Москве и других регионах,— в онлайн-трансляции “Ъ”.",https://www.kommersant.ru/doc/4661012,"Sat, 23 Jan 2021 15:28:00 +0300"
Омбудсмен Москалькова не получала жалоб с протестных акций на востоке России,"Прошедшие на востоке страны несогласованные акции показали корректное отношение региональных властей к людям, заявила уполномоченный по правам человека в России Татьяна Москалькова. По словам омбудсмена, к ней в аппарат и к уполномоченным по правам человека на Дальнем Востоке и в Сибири жалоб на нарушение прав не поступало.«Публичные акции, которые прошли сегодня на востоке России, показали, что региональные власти чрезвычайно корректно отнеслись к тем людям, которые, несмотря на постоянные предупреждения по поводу их незаконности в период пандемии, все же пошли на протестные действия»,— приводит пресс-служба омбудсмена слова госпожи Москальковой (цитата по «РИА Новости»). Она пообещала продолжать внимательно следить за ситуацией во всех регионах России.Сегодня по всей стране проходят несанкционированные акции в поддержку арестованного оппозиционера Алексея Навального. По данным «ОВД-Инфо», в целом по России в ходе митингов задержано более 300 человек. Массовые задержания проходят на Пушкинской площади…",https://www.kommersant.ru/doc/4661011,"Sat, 23 Jan 2021 15:23:00 +0300"
В Екатеринбурге на акцию в поддержку Навального вышло несколько тысяч человек,"В Екатеринбурге в несанкционированном шествии в поддержку оппозиционера Алексея Навального, по предварительным данным, приняло участие около 3 тыс. человек, сообщили в региональном министерстве общественной безопасности. Отметим, что сегодня в городе морозно — температура опустилась до –30°C. В шествии участвовал экс-мэр Екатеринбурга Евгений Ройзман. По данным местных СМИ, задержано от двух до семи человек.Шествие закончилось в сквере у драматического театра, бойцы ОМОНа выстроились в живую стену и щитами начали оттеснять людей в сторону городского пруда. Похожие действия бойцов наблюдались во время протестных акций против строительства храма в этом сквере в мае 2019 года. По словам корреспондента “Ъ-Урал”, из толпы выхватывают по одному человеку, остальные люди пытаются его отбить, и в это время сотрудники ОМОНа применяют дубинки. Также была пущена дымовая шашка.После начала задержаний в Telegram-канале регионального штаба Алексея Навального появилось сообщение с просьбой расходиться. «ОМОН вытесняет…",https://www.kommersant.ru/doc/4660999,"Sat, 23 Jan 2021 15:10:00 +0300"
Несколько десятков человек задержано на акциях в Сибири,"В нескольких городах Сибири прошли задержания на акциях протеста в поддержку оппозиционера Алексея Навального. Как передают корреспонденты “Ъ”, всего было задержано несколько десятков человек. В Красноярске, по оценке корреспондента “Ъ”, на акцию пришло более 1 тыс. человек. Участники акции оценили численность в 3 тыс. «Народу очень много, пока видела, что задержали двоих. Машины ехали сигналили. Я удивлена, что все так сплотились»,— сказала “Ъ-Сибирь” участница митинга-шествия Наталия Подоляк. Так же, как и во всех остальных регионах, они скандировали «Навальному — свободу!», «Один за всех и все за одного!», «Свобода!», «Путина долой!» и «Красноярск, выходи!». По данным местных СМИ, несколько человек задержано после использования пиротехники.В Горно-Алтайске, по оценкам местных СМИ, собралось около 120–150 участников. О задержаниях не сообщается.В Барнауле, по оценке общественника Виктора Рау, участника акции в поддержку господина Навального, собрались 2–3 тыс. человек. Господ Рау сказал «Ъ-Сибирь»…",https://www.kommersant.ru/doc/4661007,"Sat, 23 Jan 2021 15:06:00 +0300"
Умер президент Московского зоопарка Владимир Спицин,"В пятницу, 22 января, скончался президент Московского зоопарка Владимир Спицин, сообщили в Московском зоопарке. Ему было 79 лет. Причина смерти, дата и место прощания не указываются.В 1974 году господин Спицин был назначен заместителем директора зоопарка по научной части, через три года сам стал директором. Владимир Спицин стал первым председателем Совета по координации деятельности зоопарков СССР. «В 1990-е годы под руководством Владимира Владимировича зоопарк переродился почти полностью. Невероятная задача — обновить территорию в городских границах до современного уровня»,— рассказали в зоопарке. Во многом по его инициативе появилась Евроазиатская региональная ассоциация зоопарков и аквариумов — ЕАРАЗА.",https://www.kommersant.ru/doc/4661006,"Sat, 23 Jan 2021 14:58:00 +0300"
В Москве задержана Любовь Соболь,"Юрист Фонда борьбы с коррупцией (признан Минюстом РФ иностранным агентом) Любовь Соболь была задержана на Пушкинской площади в Москве в районе 14:00. Именно на это время было запланировано официальное начало несанкционированной акции в поддержку оппозиционера Алексея Навального. В преддверии нее в столице люди начали собираться на Пушкинской площади, полиция массово задерживает собравшихся. «На площади около Тверской ОМОН шеренгой идет в наступление на протестующих, активно работают дубинками. В ОМОН летят снежки. В толпе стоят люди с плакатами в поддержку Навального. ОМОН действует очень жестко»,— передает корреспондент “Ъ”. От Маяковской «буквально тысячи людей по обеим сторонам Тверской идут к Пушкинской».Напомним, несанкционированные акции протеста в поддержку Алексея Навального проходят сегодня по всей России. По данным «ОВД-Инфо», на Дальнем Востоке и в Сибири в ходе митингов задержано более 300 человек. За акциями в поддержку Алексея Навального следите в онлайн-трансляции “Ъ”.",https://www.kommersant.ru/doc/4660995,"Sat, 23 Jan 2021 14:38:00 +0300"
В Санкт-Петербурге начались массовые задержания,"В Санкт-Петербурге сотрудники полиции, ОМОНа и Росгвардии начали массовые задержания на акции в поддержку Алексея Навального. По подсчетам корреспондента “Ъ”, на данный момент в мероприятии принимает участие около 5 тыс. человек, часть из них находится около Исаакиевского собора, также идет толпа со стороны Невского проспекта.Сотрудники правоохранительных органов выхватывают людей из толпы и отводят в автозаки. Около Сенатской площади их несколько десятков. Вышедшие на акцию скандируют «Путин — вор!» и «Позор!». Возле Конституционного суда в Петербурге в ОМОН кидают снежками. Несанкционированные акции в поддержку оппозиционера 23 января проходят по всей стране. Задержания активистов в Санкт-Петербурге начались еще до акции в поддержку Алексея Навального. Кроме того, ранее корреспондента “Ъ” Олега Дилимбетова увели в автозак «для проверки документов», после чего увезли  в отдел полиции №46. Подробнее об акциях в поддержку Алексея Навального — в онлайн-трансляции “Ъ”.Марина Царева, Санкт-Петербург",https://www.kommersant.ru/doc/4660994,"Sat, 23 Jan 2021 14:26:00 +0300"
МВД пообещало расследовать факты провокаций против полицейских на митингах,"МВД России предупредило, что будет дополнительно расследовать все факты провокаций против сотрудников правоохранительных органов и неподчинение им на несанкционированных акциях. Об этом сообщила официальный представитель ведомства Ирина Волк. Как сообщает корреспондент “Ъ”, на акции в Москве есть случаи столкновения протестующих и сотрудников правоохранительных органов. «МВД России предупреждает граждан, планирующих принять участие в несанкционированных публичных мероприятиях, что каждый факт провокационных действий в отношении сотрудников правоохранительных органов, осуществляющих охрану общественного порядка, либо неподчинения их законным требованиям будет отдельно расследован и получит соответствующую правовую оценку»,— говорится в заявлении госпожи Волк.Сегодня, 23 января, по всей России проходят несогласованные акции в поддержку Алексея Навального. Протестующие пытаются отбить у ОМОНа людей, которых задерживают. Так, корреспондент “Ъ” стал свидетелем драки демонстрантов с сотрудниками правоохранительных…",https://www.kommersant.ru/doc/4660985,"Sat, 23 Jan 2021 14:22:00 +0300"
