Title,Description,Links,Publication Date
Пользователи сообщили о сбоях в работе операторов и соцсетей в России,"Пользователи сообщают о сбоях в работе операторов связи и соцсетей в России. Как следует из данных Downdetector, проблемы есть у МТС, «МегаФона», «Билайна», «Ростелекома», Tele2, Twitter и «ВКонтакте». «Вымпелком» (бренд «Билайн») и «Ростелеком» отрицают, что у них произошли сбои.У операторов связи крупные сбои наблюдаются по всей России. У соцсетей в основном о проблемах сообщают пользователи из Москвы и Санкт-Петербурга, однако со сбоями также сталкиваются и пользователи из других городов. У пользователей Facebook, Instagram и YouTube также возникают проблемы с работой сервисов, однако сообщают об этом в основном жители других стран. Сегодня, 23 января, в России проходят несогласованные акции в поддержку Алексея Навального. Демонстранты не согласны с арестом оппозиционера. По данным «ОВД-Инфо», задержано больше 200 человек. Подробнее об акциях в поддержку Алексея Навального — в онлайн-трансляции “Ъ”.",https://www.kommersant.ru/doc/4660955,"Sat, 23 Jan 2021 12:40:00 +0300"
В первом квартале 2021 года от коронавируса планируется привить около 20 млн россиян,"Порядка 20 млн россиян смогут привиться от коронавируса в первом квартале 2021 года, сообщила вице-премьер Татьяна Голикова.«Мы сформировали предварительный план вакцинации на первый квартал 2021 года, исходя из того, что поступит для использования в медицинские организации, это чуть более 17 млн, и мы оцениваем, что если все пойдет без сбоев, то мы сможем вовлечь в этот процесс порядка 20 млн наших граждан»,— сказала госпожа Голикова в эфире телеканала «Россия 1».Она уточнила, что это будут либо полностью привитые двумя дозами люди, либо получившие одну. Вице-премьер также назвала сложными первые дни массовой вакцинации от COVID-19. «Это были сложные дни, потому что нам многое пришлось делать одновременно вместе с нашими коллегами из 85 регионов страны»,— сказала Татьяна Голикова.Напомним, массовая вакцинация от COVID-19 началась в России 18 января. За последние сутки в стране был зарегистрирован 20 921 новый случай заражения коронавирусом. Это на 2,75% меньше, чем накануне, когда было выявлено 21…",https://www.kommersant.ru/doc/4660954,"Sat, 23 Jan 2021 12:35:00 +0300"
В Новосибирске на акцию протеста вышло свыше 4 тыс. человек,"В Новосибирске участники незаконной акции в поддержку Алексея Навального собрались у Дома офицеров. Оппозиционеры прошлись шествием по Красному проспекту — главной транспортной артерии города, скандируя: «Долой царя», «Путин — вор», «Россия будет свободной», «Локоть уходи» (мэр Новосибирска.— “Ъ”). Кроме того, они требовали немедленно отпустить Сергея Бойко — координатора новосибирского штаба Навального, который был задержан накануне акции. Колонна дошла до площади имени Ленина, наиболее активные митингующие залезли на постамент памятника вождю мирового пролетариата. Мероприятие, по разным оценкам, собрало около 4,5 тыс. человек. Участники акции, главным образом молодые люди, держали в руках транспаранты «Свободу Навальному», «Путин боится», «Я знаю, кто отравил Навального». Двое парней пришли с самодельным плакатом, на котором был изображен атлет с голым торсом и головой Алексея Навального. Надпись, сопровождающая плакат, гласила «Я могу усвоить больше ""новичка"", чем вы сможете произвести». Каждые пять…",https://www.kommersant.ru/doc/4660950,"Sat, 23 Jan 2021 12:33:00 +0300"
На акцию в Красноярске вышло более 1 тыс. человек,"В Красноярске, по оценке корреспондента “Ъ”, на Красной площади собралось более 1 тыс. человек. Участники акции сообщают о свыше 3 тыс. участников акции. «Народу очень много, пока видела, что задержали двоих. Машины ехали и сигналили. Я удивлена, что все так сплотились»,— рассказала “Ъ” участница митинга-шествия Наталия Подоляк. Так же, как и во всех остальных регионах, они скандировали «Навальному свободу», «Один за всех и все за одного», «Свобода», «Путина долой» и «Красноярс, выходи».В Горно-Алтайске (Республика Алтай), по оценкам местных СМИ, собралось около 120–150 участников. О задержаниях не сообщается. Несанкционированные акции в поддержку господина Навального сегодня, 23 января, проходят по всей России. Демонстранты не согласны с арестом оппозиционера. По данным «ОВД-Инфо», всего задержано больше 200 человек. Подробнее об акциях в поддержку Алексея Навального — в онлайн-трансляции “Ъ”.Юлия Сасевич, Новосибирск",https://www.kommersant.ru/doc/4660945,"Sat, 23 Jan 2021 12:16:00 +0300"
В Тюмени арестовали координатора штаба Навального,"В Тюмени на пять суток арестовали координатора штаба Алексея Навального Ивана Вострикова. Как сообщает Telegram-канал штаба, его арестовали за призывы выйти на митинг в социальных сетях. Такое решение принял Ленинский районный суд.«Меня вчера задержали за акцию до ее проведения. Как так? Очевидно, это были инвертированные полицейские из фильма ""Довод""»,— цитирует канал слова господина Вострикова. В протоколе говорится, что Иван Востриков «организовал публичное мероприятие, а именно разместил информацию, а также видеообращение с призывами к гражданам об участии в публичном мероприятии в виде шествия». Ему вменялась организация публичного мероприятия без подачи в установленном порядке уведомления о проведении публичного мероприятия (ст. 20.2.2 КоАП РФ).Напомним, 23 января сторонники Алексея Навального планируют провести в Тюмени несанкционированное шествие в знак протеста против ареста политика. На Дальнем Востоке на акциях в поддержку оппозиционера начались задержания.Подробнее об акциях в поддержку…",https://www.kommersant.ru/doc/4660938,"Sat, 23 Jan 2021 12:09:00 +0300"
Дело о призыве к массовым беспорядкам возбудили в Новосибирской области,"В Новосибирской области возбуждено уголовное дело по факту призывов к массовым беспорядкам. В Новосибирске сегодня проходит несанкционированная акция в поддержку оппозиционера Алексея Навального.«По версии следствия, в январе 2021 года в Новосибирске неустановленные пользователи социальных сетей опубликовали сообщения, содержащие призывы к массовым беспорядкам, сопровождающимся насилием, погромами, поджогами, уничтожением имущества, применением оружия, взрывных устройств, взрывчатых, отравляющих либо иных веществ и предметов, представляющих опасность для окружающих, а также оказанию вооруженного сопротивления представителям  власти — сотрудникам полиции во время несанкционированной акции протеста «#СвободуНавальному!» в Новосибирске 23 января 2021 года»,— говорится в сообщении Следственного комитета России (СКР) по области.Позже было установлено, кто осуществлял призывы. Это, по данным ведомства, 20-летний житель Новосибирска. Подозреваемый задержан в порядке ст. 91 УПК РФ. Он дал показания по поводу переписки…",https://www.kommersant.ru/doc/4660932,"Sat, 23 Jan 2021 12:06:00 +0300"
В Иркутске на акцию в поддержку Навального вышло несколько тысяч человек,"В Иркутске в акции в поддержку оппозиционера Алексея Навального, по подсчетам корреспондента “Ъ”, приняло участие несколько тысяч человек. Демонстранты прошли по улицам Урицкого, Карла Маркса, Ленина и заняли площадь перед правительством Иркутской области. Участники акции скандировали у здания регионального правительства: «Уходи», «Мы не боимся».За час до начала акции были задержаны руководитель иркутского штаба господина Навального Сергей Беспалов и его заместитель Захар Сарапулов. Больше задержаний не было.Несанкционированные акции в поддержку господина Навального сегодня, 23 января, проходят по всей России. Демонстранты не согласны с арестом оппозиционера. По данным «ОВД-Инфо», всего задержано больше 170 человек. Подробнее об акциях в поддержку Алексея Навального — в онлайн-трансляции “Ъ”.Екатерина Еременко, Иркутск",https://www.kommersant.ru/doc/4660935,"Sat, 23 Jan 2021 12:04:00 +0300"
В Санкт-Петербурге задержали активистов перед акцией в поддержку Навального,"Полиция в Петербурге задерживает известных активистов до начала несогласованного митинга в поддержку Алексея Навального, передает Telegram-канал Задержания Санкт-Петербург. Утром 23 января были задержаны автор канала «АгитРоссия» Павел Иванкин, активист «Весны» Тимофей Тумашевич и член Либертарианской партии Иван Остапчук. Причины задержания никому из них пока не объяснили.Также поступают сообщения от активистов и оппозиционных депутатов, что к ним домой приходят сотрудники полиции и просят подписать бумаги о недопустимости нарушения порядка. Об этом, в частности, говорили активисты «Мирного сопротивления», градозащитник Красимир Врански и член «Открытой России» (организация признана Минюстом РФ иностранным агентом) Александр Бруссер, пишет Telegram-канал ЯГражданин. Кроме того, еще вчера полиция посетила депутата законодательного собрания Максима Резника и ряд других депутатов.Несанкционированные акции в поддержку Алексея Навального 23 января проходят по всей стране. На Дальнем Востоке уже начались задержания…",https://www.kommersant.ru/doc/4660929,"Sat, 23 Jan 2021 11:52:00 +0300"
В Уфе задержаны шеф-редактор «Эха Москвы в Уфе» и глава штаба Навального,"Шеф-редактор радиостанции «Эхо Москвы в Уфе» член СПЧ при главе Башкирии Руслан Валиев задержаны сотрудниками полиции на площади перед ГКЗ «Башкортостан», где сегодня был запланирован митинг сторонниками оппозиционного политика Алексея Навального. Он сообщил, что вместе с ним в отделении полиции находится глава штаба Навального Лилия Чанышева.На видеозаписи, выложенной в Telegram-канале «Эхо Москвы в Уфе», видно, что подполковник полиции Ильдус Шангареев требует от господина Валиева покинуть площадь, объясняя это тем, что на ней не будет никаких мероприятий, а начнется уборка снега. Затем подполковник просит подчиненных принести ориентировку на подозреваемого в совершении грабежа. «Вы очень похожи по приметам»,— сказал Ильдус Шангареев.На другой видеозаписи Руслан Валиев находится в полицейском автобусе. Сотрудники полиции говорят журналисту, что доставят его в отделение для составления протокола за то, что тот в автобусе без маски на лице (ч. 1 ст. 20.6 КоАП РФ). Акции в поддержку господина Навального…",https://www.kommersant.ru/doc/4660933,"Sat, 23 Jan 2021 11:50:00 +0300"
Курганский штаб Навального сообщил о задержании координатора и активиста,"Курганский штаб оппозиционера Алексея Навального сообщил о задержании координатора штаба Алексея Шварца и активиста Никиты Ильиных. Они не выходят на связь с 12 часов ночи. К позднее уточнили в штабе, господин Шварц задержан на 30 суток.«Алексей записал видео на случай задержания. Он попросил выходить нас за самих себя и не бояться»,— говорится в сообщении команды Навального.Алексея Шварца арестовали на 30 суток по ч. 8  ст. 20.2 КоАП РФ. Суд прошел в отделе полиции №1 Кургана «по скайпу», сообщается в Telegram-канале местного штаба со ссылкой на адвоката активиста.   Сегодня в Кургане оппозиция планирует провести шествие по центральным улицам города от кинотеатра «Россия». Несанкционированные акции в поддержку Алексея Навального 23 января проходят по всей стране. На Дальнем Востоке уже начались задержания. Подробнее об акциях в поддержку Алексея Навального — в онлайн-трансляции “Ъ”.Юлия Гарипова, Челябинск",https://www.kommersant.ru/doc/4660927,"Sat, 23 Jan 2021 11:37:00 +0300"
Правительство распространило льготное кредитование на «дочек» предприятий ОПК,"Правительство России расширило программу льготного кредитования предприятий оборонно-промышленного комплекса (ОПК). Теперь «дочки» этих предприятий смогут получать кредиты по сниженной ставке на выпуск высокотехнологичной продукции гражданского и двойного назначения. Ранее доступ к таким кредитам был только у материнских компаний.Займы будет предоставлять «ВЭБ.РФ» и ряд российских банков. При обращении в «ВЭБ.РФ» минимальный размер займа составит 0,5 млрд руб., ставка -- от 5% годовых. На такие условия могут рассчитывать компании, планирующие проекты с бюджетом от 1 млрд руб. Другие банки могут устанавливать собственные условия кредитования.В марте 2020 года вице-премьер Юрий Борисов сообщил о планах реструктуризации долгов предприятий ОПК. Вице-премьер отметил, что эта мера позволит предприятиям ОПК освободиться от больших платежей банкирам и высвободить средства для собственного развития.",https://www.kommersant.ru/doc/4660923,"Sat, 23 Jan 2021 11:29:00 +0300"
В Южно-Сахалинске задержали около 10 участников протестной акции,"В Южно-Сахалинске на несанкционированную акцию в поддержку Алексея Навального, по оцценке корреспондента “Ъ”, вышло около 400 человек. Планировалось, что мероприятие пройдет у дома правительства, но там начали разбирать новогоднюю ель, огородив весь периметр. Акция стартовала в 14:00 (6:00 по московскому времени) и 40 минут проходила без выступлений. После этого забравшиеся на фонтан молодые люди начали скандировать лозунги «Долой царя!», «Власть — это мы», «Свободу Навальному» и др.Полиция в их действия не вмешивалась, сотрудники только предупреждали об административной ответственности за нарушение закона. После получаса скандирования участники отправились в шествие по центральной улице города —Коммунистическому проспекту. Они надеялись дойти до площади Победы, где традиционно проходят акции протеста. Силовики не вмешивались в действия митингующих примерно полквартала, потом ОМОН попытался разделить колонну, начались задержания. До площади Победы в итоге добралось менее 60 человек, там они разделились…",https://www.kommersant.ru/doc/4660922,"Sat, 23 Jan 2021 11:17:00 +0300"
В России впервые с ноября выявлено менее 21 тыс. заразившихся коронавирусом за сутки,"За последние сутки в России зарегистрирован 20 921 новый случай заражения коронавирусом. Это на 2,75% меньше, чем накануне, когда было выявлено 21 513 заразившихся (рекорд — 29 935 24 декабря). Последний раз меньше 21 тыс. заражений было выявлено 18 ноября. Общее число заболевших с начала пандемии достигло 3 698 273.Регионы с наибольшим числом заражений за сутки:Санкт-Петербург — 3056 (всего 316 664),Москва — 2668 (910 057),Московская область — 1121 (184 254),Нижегородская область — 487 (80 648),Свердловская область — 390 (67 526).Умерли за прошедший день 559 человек (накануне — 580, –3,62%, рекорд — 635). Общее число умерших с коронавирусом достигло 68 971. Выздоровели за сутки 27 779 человек, за все время — 3 109 315.Регионы с наибольшим числом смертей за сутки:Санкт-Петербург — 73 (9254),Москва — 64 (12 895),Московская область — 39 (3488),Ростовская область — 29 (2477),Красноярский край — 25 (2140).По данным Университета Джонса Хопкинса, в мире за время…",https://www.kommersant.ru/doc/4660908,"Sat, 23 Jan 2021 11:06:00 +0300"
На Пушкинской площади перед акцией за Навального перекладывают плитку,"На Пушкинской площади в Москве в преддверии несанкционированной акции в поддержку оппозиционера Алексея Навального начали перекладывать плитку, сообщает «Проект». Со стороны Страстного бульвара было огорожено примерно 100 м для проведения работ.Представители коммунальных служб сказали, что ремонт может занять весь день. Участок работ расположен близко к выходу со станции метро «Чеховская».Пушкинский сквер со стороны «Известий» заставлен машинами московского паркинга, полицейским автобусом и машинами «Автодора». Сам сквер патрулируется сотрудниками полиции.На Дальнем Востоке акции в поддержку господина Навального уже начались. Есть задержанные.Подробнее об акциях в поддержку Алексея Навального — в онлайн-трансляции “Ъ”.",https://www.kommersant.ru/doc/4660918,"Sat, 23 Jan 2021 10:56:00 +0300"
СМИ узнали о плане Трампа уволить главу Минюста для отмены итогов выборов,"Президент США Дональд Трамп перед уходом с поста планировал сменить исполняющего обязанности министра юстиции Джеффри Розена, чтобы повлиять на итоги выборов, сообщает The New York Times (NYT). Помогал господину Трампу разработать соответствующий план сотрудник Минюста Джеффри Кларк. Согласно плану, предполагалось отменить результаты выборов в Джорджии.Дональд Трамп отказался от попыток сместить господина Розена после того, как из Минюста пригрозило уволиться несколько человек, пишет NYT. По данным газеты, президент оказывал давление на Джеффри Розена, требуя назначить специальных советников по проверке выборов. Выборы президента США состоялись 3 ноября. Победу на них одержал кандидат от Демократической партии Джо Байден. Дональд Трамп не признавал итоги выборов и настаивал на пересчете голосов. Коллегия выборщиков 14 декабря утвердила результаты голосования. Инаугурация господина Байдена прошла 20 января.Подробнее о церемонии читайте в публикации “Ъ” «Камон, эврибайден!»",https://www.kommersant.ru/doc/4660906,"Sat, 23 Jan 2021 10:23:00 +0300"
На акциях в поддержку Навального на Дальнем Востоке задержаны больше 100 человек,"В Хабаровске на акции в поддержку Алексея Навального задержано около 40 человек, сообщил источник “Ъ” в правоохранительных органах, около 30 протестующих задержали в Комсомольске-на-Амуре. По оценкам корреспондентов “Ъ” с места событий, 30–40 человек задержаны во Владивостоке, 10 — в Южно-Сахалинске и еще несколько в Якутске. По данным «ОВД-Инфо», всего на несогласованных акциях в России 23 января задержано больше 200 человек.В Хабаровске, как сообщает корреспондент “Ъ”, на акцию протеста на главную площадь города (имени Ленина) вышло более 200 человек, по оценкам мэрии — около 250. По данным местных СМИ, среди задержанных — координатор местного штаба господина Навального Алексей Ворсин, журналисты RusNews Сергей Плотников и Даниил Куликов, председатель хабаровского отделения Либертарианской партии Артем Мозгов.Во Владивостоке участники акции на два часа перекрыли движение по центральной улице города. По оценке корреспондента “Ъ”, в демонстрации принимает участие около 3 тыс. человек, по оценке правительства…",https://www.kommersant.ru/doc/4660903,"Sat, 23 Jan 2021 09:58:00 +0300"
Детский омбудсмен Москвы считает недопустимым вовлекать детей в несанкционированные митинги,"Уполномоченный по правам ребенка в Москве Ольга Ярославская считает недопустимым вовлекать несовершеннолетних в незаконные акции. Она напомнила, что «по закону детей нельзя вовлекать в политические игры».«Я отрицательно отношусь, когда несовершеннолетних детей всячески призывают различными способами ходить на митинги»,— заявила ТАСС госпожа Ярославская. Омбудсмен отметила, что в течение всего дня будет дежурить для того, чтобы все дети, которые попали в трудную ситуацию, могли получить помощь.«Хочу обратиться к родителям и напомнить им, что необходимо в первую очередь объяснять детям, что они могут отстаивать свои права, когда станут старше. Конечно, для начала им придется разобраться в сущности и подоплеке тех или иных политических движений»,— сказала Ольга Ярославская.Сегодня, 23 января, в России проходят несогласованные акции в поддержку оппозиционера Алексея Навального. Следственный комитет России ранее возбудил уголовное дело из-за призывов в соцсетях к несовершеннолетним участвовать в несанкционированных…",https://www.kommersant.ru/doc/4660900,"Sat, 23 Jan 2021 09:40:00 +0300"
На митинг в Петропавловске-Камчатском вышло больше 200 человек,"В несанкционированном митинге на площади Ленина в Петропавловске-Камчатском приняло участие более 200 человек. Митинг начался в 14:00 (5:00 по московскому времени) и длился около часа. Полиция никого не задержала. Собравшиеся говорили о произволе чиновников и коррупции в стране, о расследовании оппозиционера Алексея Навального о «дворце Путина». Среди выступающих были как известные камчатские оппозиционеры, так и граждане, ранее не замеченные в протестной активности. Среди митингующих было довольно много молодежи и школьников. Митинг прошел мирно, звучала музыка, некоторые участники танцевали. Сотрудники правоохранительных органов не вмешивались в происходящее. Также в ряде оживленных районов Петропавловска прошли одиночные пикеты. Активисты стояли в людных местах с плакатами в защиту Алексея Навального.Сегодня, 23 января, в России проходят несанкционированные акции в поддержку господина Навального. Протестующие не согласны с арестом оппозиционера. На акции в Хабаровске и Владивостоке задержано несколько…",https://www.kommersant.ru/doc/4660901,"Sat, 23 Jan 2021 09:34:00 +0300"
"МИД Венгрии считает, что резолюция Европарламента не повлияет на сотрудничество с Россией","Глава МИД Венгрии Петер Сийярто заявил, что резолюция Европарламента с призывом отказаться от сотрудничества с Россией из-за ареста оппозиционера Алексея Навального не повлияет на работу стран ЕС с Москвой. По его мнению, в большинстве случаев разговоры о проблемах в России — это лицемерие.«Все это не повлияет ни на двустороннее сотрудничество России и Венгрии, ни на двустороннее сотрудничество России и любой западноевропейской страны в целом»,— прокомментировал господин Сийярто РБК резолюцию Европарламента. Глава МИД Венгрии также считает, что многие страны, «которые жестче всех критикуют Россию, имеют тут самый прибыльный бизнес». Он назвал это двойными стандартами. «Дело в том, что все подобные разговоры (в ЕС о проблемах внутри России.— “Ъ”) в большинстве случаев являются лицемерием»,— добавил министр.21 января Европарламент принял резолюцию в связи с арестом Алексея Навального. Он призвал остановить «Северный поток-2» и ввести санкции против «близких к режиму» российских олигархов и окружения…",https://www.kommersant.ru/doc/4660896,"Sat, 23 Jan 2021 09:18:00 +0300"
Во Владивостоке участники акции в поддержку Навального перекрыли центральную улицу,"Участники несанкционированной акции в поддержку оппозиционера Алексея Навального перекрыли движение по Светланской улице в центре Владивостока. По оценке корреспондента “Ъ”, в шествии принимает участие около 3 тыс. человек, по оценке властей — 300–500. Задержаны больше 30 человек.Тем временем в городе начались столкновения с полицией.Демонстранты скандируют: «Путина в отставку», «Мы не боимся. Раз. Два. Три, Путин уходи», «Верни дворец народу». В основном в акции принимает участие молодежь. К настоящему времени ОМОН вытеснил протестующих на всей Светланской с проезжей части. Движение восстановлено.Сегодня, 23 января, в России проходят несанкционированные акции в поддержку господина Навального. Протестующие не согласны с задержанием оппозиционера. На акции в Хабаровске задержано несколько человек.Подробнее об акциях в поддержку Алексея Навального — в онлайн-трансляции “Ъ”.Алексей Чернышев, Владивосток",https://www.kommersant.ru/doc/4660893,"Sat, 23 Jan 2021 08:49:00 +0300"
СКР поддержал законопроект о лишении свободы за вовлечение несовершеннолетних в митинги,"Депутат Госдумы Евгений Марченко («Единая Россия») разработал законопроект о лишении свободы до пяти лет за вовлечение несовершеннолетних в несанкционированные митинги и до десяти лет — за склонение к организации массовых беспорядков. Следственный комитет России концептуально поддержал законопроект. Господин Марченко сообщил «РИА Новости», что документ находится на рассмотрении правительства.Депутат предложил внести поправки в ст. 151 УК РФ (вовлечение несовершеннолетнего в совершение антиобщественных действий). Сейчас за вовлечение несовершеннолетних в несанкционированные акции предусмотрена административная ответственность — 50 тыс. руб. для физлиц и 100 тыс. руб. для должностных лиц. Поправками предлагается криминализировать состав ч. 1.1 ст. 20.2 КоАП РФ. Депутат хочет наказывать за вовлечение в несанкционированные митинги ограничением свободы на два—четыре года, арестом на четыре—шесть месяцев или лишением свободы до пяти лет. Господин Марченко заявил «РИА Новости», что административные штрафы могут…",https://www.kommersant.ru/doc/4660891,"Sat, 23 Jan 2021 08:40:00 +0300"
В Иркутске задержали главу штаба Навального,"Полиция задержала руководителя иркутского штаба оппозиционера Алексея Навального Сергея Беспалова. Об этом сам господин Беспалов сообщил у себя на странице в Facebook. Также задержан его заместитель Захар Сарапулов, ему вменяется 20.2 КоАП (нарушение правил организации акции).«Все, задержали меня. Ну вы знаете что делать и без меня. Дней через десять обсудим как получилось»,— написал он.В Иркутске в 14:00 по местному времени (9:00 по московскому) на улице Урицкого начнется марш в поддержку Алексея Навального. Участники собираются пройти до здания правительства Иркутской области на сквере имент Кирова. Акция не согласована с местными властями.Екатерина Еременко, Иркутск",https://www.kommersant.ru/doc/4660890,"Sat, 23 Jan 2021 08:27:00 +0300"
ВОЗ объяснила высокую летальность нового штамма COVID-19,"Рост смертности от коронавируса может быть связан не только с появлением новых штаммов, но и с перегрузкой системы здравоохранения, заявила глава технической группы подразделения чрезвычайных заболеваний Всемирной организации здравоохранения (ВОЗ) Мария Ван Керкхове. «Если у вас повышается скорость передачи вируса, у вас будет больше случаев заражения. Я знаю, это может показаться очевидным, но, если у вас больше случаев, у вас растет число госпитализаций… В ситуации, когда есть перегрузка (системы здравоохранения.— “Ъ”), у вас увеличится летальность, потому что система перегружена»,— сказала госпожа Ван Керкхове на брифинге (цитата по «РИА Новости»).Ранее премьер-министр Великобритании Борис Джонсон сообщил, что «британский» штамм коронавируса может быть не только более заразным, но и более летальным. В Великобритании с начала пандемии заразились 3,6 млн человек, умерли 96 тыс. человек.",https://www.kommersant.ru/doc/4660888,"Sat, 23 Jan 2021 07:56:00 +0300"
«РИА Новости»: кандидату в главы NASA в России отказали в визе,"Кандидат на должность руководителя представительства NASA в России не получил дипломатическую визу в ответ на аналогичный шаг США в отношении ряда российских дипломатов, сообщили источники «РИА Новости» в ракетно-космической отрасли.«В ответ на невыдачу российским дипломатам виз в США было принято ответное решение не выдавать визу представителю NASA, который должен был возглавить офис агентства при посольстве США в России»,— сказал собеседник агентства. Имя кандидата на должность руководителя не сообщается.По словам другого источника, подобная ситуация была и при назначении текущего руководителя офиса NASA в Москве Триши Мак. «После назначения в Москву она в течение полутора лет сидела в Хьюстоне и прилетала только на старты и посадки в Казахстан, потому что в течение этого срока не получила визу»,— уточнил он.  В декабре 2020 года посольство России в Вашингтоне заявило, что США являются инициаторами «визовой войны», так как навязали России практику персональных визовых разменов.",https://www.kommersant.ru/doc/4660883,"Sat, 23 Jan 2021 07:28:00 +0300"
